region_id,region_label,location_id,location_label
14,Arcadia,226,ARCADIA
16,Duarte,232,ARCADIA
60,Cerritos,312,ARTESIA
170,Avalon,516,AVALON
17,Azusa,234,AZUSA
17,Azusa,235,AZUSA
59,Bellflower,310,BELLFLOWER
16,Duarte,229,BRADBURY
15,Monrovia,228,BRADBURY
60,Cerritos,313,CERRITOS
60,Cerritos,314,CERRITOS
21,Claremont,242,CLAREMONT
21,Claremont,243,CLAREMONT
51,Maywood,297,COMMERCE
63,Compton,321,COMPTON
24,Covina,250,COVINA
24,Covina,248,COVINA
41,Diamond Bar,280,DIAMOND BAR
16,Duarte,230,DUARTE
16,Duarte,233,DUARTE
27,El Monte,254,EL MONTE
36,South El Monte,265,EL MONTE
71,El Segundo,343,EL SEGUNDO
18,Glendora,236,GLENDORA
18,Glendora,237,GLENDORA
61,Lakewood,315,HAWAIIAN GARDENS
72,Hawthorne,346,HAWTHORNE
72,Hawthorne,347,HAWTHORNE
37,Bassett,270,INDUSTRY
45,Whittier,284,LA HABRA HEIGHTS
45,Whittier,285,LA HABRA HEIGHTS
20,La Verne,240,LA VERNE
20,La Verne,241,LA VERNE
61,Lakewood,316,LAKEWOOD
61,Lakewood,318,LAKEWOOD
5,Lancaster,190,LANCASTER
67,Lomita,333,LOMITA
61,Lakewood,319,LONG BEACH
141,Tujunga,470,ANGELES NATIONAL FOREST
8,Acton,203,ANGELES NATIONAL FOREST
152,Brentwood,485,BEL AIR
152,Brentwood,486,BEVERLY CREST
152,Brentwood,487,BRENTWOOD
100,Park La Brea,398,CARTHAY
99,Crestview,395,CRESTVIEW
92,Playa Vista,382,DEL REY
99,Crestview,396,FAIRCREST HEIGHTS
83,Harbor Gateway,364,HARBOR GATEWAY
83,Harbor Gateway,365,HARBOR GATEWAY
115,Highland Park,427,HIGHLAND PARK
90,Hyde Park,376,HYDE PARK
155,PacificPalisades,492,MANDEVILLE CANYON
92,Playa Vista,380,MARINA PENINSULA
100,Park La Brea,400,MIRACLE MILE
144,San Fernando,476,MISSION HILLS
155,PacificPalisades,493,PACIFIC PALISADES
155,PacificPalisades,494,PALISADES HIGHLANDS
100,Park La Brea,399,PARK LA BREA
92,Playa Vista,381,PLAYA DEL REY
92,Playa Vista,379,PLAYA VISTA
80,San Pedro,359,SAN PEDRO
99,Crestview,397,SOUTH CARTHAY
137,Studio City,461,STUDIO CITY
137,Studio City,462,TOLUCA LAKE
137,Studio City,463,TOLUCA TERRACE
137,Studio City,464,TOLUCA WOODS
141,Tujunga,471,TUJUNGA
90,Hyde Park,377,VIEW HEIGHTS
161,West Hills,500,WEST HILLS
154,West LosAngeles,490,WEST LOS ANGELES
59,Bellflower,311,LYNWOOD
51,Maywood,298,MAYWOOD
15,Monrovia,227,MONROVIA
16,Duarte,231,MONROVIA
6,Palmdale,193,PALMDALE
8,Acton,209,PALMDALE
67,Lomita,334,PALOS VERDES ESTATES
22,Pomona,245,POMONA
22,Pomona,246,POMONA
67,Lomita,335,ROLLING HILLS
67,Lomita,336,ROLLING HILLS ESTATES
19,San Dimas,238,SAN DIMAS
144,San Fernando,477,SAN FERNANDO
144,San Fernando,,SAN FERNANDO
13,Altadena,224,SIERRA MADRE
61,Lakewood,317,SIGNAL HILL
36,South El Monte,264,SOUTH EL MONTE
36,South El Monte,267,SOUTH EL MONTE
8,Acton,201,ACTON
1,Canyon Country,172,AGUA DULCE
13,Altadena,225,ALTADENA
8,Acton,202,ANAVERDE
64,Willowbrook,324,ATHENS VILLAGE
75,Athens-Westmont,352,ATHENS-WESTMONT
37,Bassett,271,AVOCADO HEIGHTS
51,Maywood,299,BANDINI ISLANDS
37,Bassett,272,BASSETT
1,Canyon Country,173,BOUQUET CANYON
1,Canyon Country,174,CANYON COUNTRY
2,Castaic,184,CASTAIC
2,Castaic,184,CASTAIC
24,Covina,247,CHARTEROAK
24,Covina,249,COVINA (CHARTER OAK)
71,El Segundo,344,DEL AIRE
1,Canyon Country,175,DEL SUR
8,Acton,204,DESERT VIEW HIGHLANDS
19,San Dimas,239,EAST COVINA
5,Lancaster,191,EAST LANCASTER
63,Compton,322,EAST RANCHO DOMINGUEZ
47,South Whittier,291,EAST WHITTIER
1,Canyon Country,176,ELIZABETH LAKE
152,Brentwood,488,FRANKLIN CANYON
7,Lake Los Angeles,194,HI VISTA
8,Acton,205,KAGEL/LOPEZ CANYONS
80,San Pedro,360,LA RAMBLA
1,Canyon Country,177,LAKE HUGHES
7,Lake Los Angeles,195,LAKE LOS ANGELES
161,West Hills,501,LAKE MANOR
72,Hawthorne,348,LENNOX
1,Canyon Country,178,LEONA VALLEY
8,Acton,206,LITTLEROCK
8,Acton,207,LITTLEROCK/JUNIPER HILLS
7,Lake Los Angeles,196,LITTLEROCK/PEARBLOSSOM
8,Acton,208,LLANO
92,Playa Vista,383,MARINA DEL REY
4,Stevenson Ranch,186,NEWHALL
7,Lake Los Angeles,197,NORTH LANCASTER
37,Bassett,273,NORTH WHITTIER
21,Claremont,244,PADUA HILLS
67,Lomita,337,PALOS VERDES PENINSULA
8,Acton,210,PEARBLOSSOM/LLANO
36,South El Monte,266,PELLISSIER VILLAGE
8,Acton,211,PLACERITA CANYON
5,Lancaster,192,QUARTZ HILL
7,Lake Los Angeles,198,ROOSEVELT
63,Compton,323,ROSEWOOD
64,Willowbrook,325,ROSEWOOD/EAST GARDENA
64,Willowbrook,326,ROSEWOOD/WEST RANCHO DOMINGUEZ
170,Avalon,517,SAN CLEMENTE ISLAND
1,Canyon Country,179,SAN FRANCISQUITO CANYON/BOUQUETCANYON
8,Acton,212,SAND CANYON
170,Avalon,518,SANTA CATALINA ISLAND
1,Canyon Country,180,SAUGUS
1,Canyon Country,181,SAUGUS/CANYON COUNTRY
8,Acton,213,SOUTH ANTELOPE VALLEY
7,Lake Los Angeles,199,SOUTH EDWARDS
36,South El Monte,268,SOUTH SAN GABRIEL
47,South Whittier,292,SOUTH WHITTIER
8,Acton,214,SOUTHEAST ANTELOPE VALLEY
4,Stevenson Ranch,187,STEVENSON RANCH
7,Lake Los Angeles,200,SUN VILLAGE
45,Whittier,286,SUNRISE VILLAGE
4,Stevenson Ranch,188,TWIN LAKES/OAT MOUNTAIN
137,Studio City,,UNIVERSAL CITY
137,Studio City,465,UNIVERSAL CITY
4,Stevenson Ranch,189,VAL VERDE
1,Canyon Country,182,VALENCIA
40,Walnut,279,WALNUT
40,Walnut,278,WALNUT
1,Canyon Country,183,WEST ANTELOPE VALLEY
161,West Hills,502,WEST CHATSWORTH
154,West LosAngeles,491,WEST LA
37,Bassett,274,WEST PUENTE VALLEY
64,Willowbrook,327,WEST RANCHO DOMINGUEZ
67,Lomita,338,WESTFIELD/ACADEMY HILLS
161,West Hills,503,WESTHILLS
8,Acton,215,WHITE FENCE FARMS
45,Whittier,288,WHITTIER
45,Whittier,287,WHITTIER
36,South El Monte,269,WHITTIER NARROWS
64,Willowbrook,328,WILLOWBROOK
71,El Segundo,345,WISEBURN
51,Maywood,300,VERNON
75,Athens-Westmont,,ATHENS
13,Azusa,,CITRUS
63,Compton,,EAST COMPTON
2,Castaic,,GREEN VALLEY
2,Castaic,,HASLEY CANYON
14,Arcadia,,MAYFLOWER VILLAGE
7,Lake Los Angeles,,NORTHEAST ANTELOPE VALLEY
27,El Monte,,NORTH EL MONTE
5,Lancaster,,NORTHWEST ANTELOPE VALLEY
6,Palmdale,,NORTHWEST PALMDALE
40,Walnut,,RAMONA
2,Castaic,,RIDGE ROUTE
41,Diamond Bar,,SOUTH DIAMOND BAR
155,Pacific Palisades,,TOPANGA
141,Tujunga,,TUJUNGA CANYONS
4,Stevenson Ranch,,UNINCORPORATED SANTA SUSANA MOUNTAINS
152,Brentwood,,VETERANS ADMINISTRATION
24,Covina,,VINCENT
63,Compton,,WEST COMPTON
75,Athens-Westmont,,WESTMONT
19,San Dimas,,WEST SAN DIMAS
115,Highland Park,,ARROYO VIEW ESTATES
99,Crestview,,LITTLE ETHIOPIA
80,San Pedro,,TERMINAL ISLAND
